Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,20.59,21.139999,20.27,20.66,58241300,20.66
2016-11-30,20.98,21.049999,20.52,20.83,69465700,20.83
2016-11-29,20.879999,21.379999,20.77,21.23,43838400,21.23
2016-11-28,20.90,21.440001,20.67,21.40,92223700,21.40
2016-11-25,20.700001,20.860001,20.440001,20.610001,34433900,20.610001
2016-11-23,20.719999,20.719999,20.139999,20.50,122610500,20.50
2016-11-22,21.549999,21.620001,20.959999,21.559999,39699900,21.559999
2016-11-21,21.440001,21.75,21.280001,21.48,55574600,21.48
2016-11-18,21.049999,21.280001,20.77,21.049999,72920100,21.049999
2016-11-17,21.809999,22.25,20.90,21.299999,93675400,21.299999
2016-11-16,21.90,22.00,21.389999,21.84,55382700,21.84
2016-11-15,21.23,22.15,20.99,22.02,90613600,22.02
2016-11-14,20.51,21.76,20.129999,21.120001,128503000,21.120001
2016-11-11,22.67,22.75,20.83,20.92,163775900,20.92
2016-11-10,24.34,24.34,22.60,22.75,180696600,22.75
2016-11-09,25.629999,25.700001,24.00,24.59,110014300,24.59
2016-11-08,24.190001,24.68,23.639999,23.959999,60899000,23.959999
2016-11-07,24.219999,24.35,23.75,24.08,79605000,24.08
2016-11-04,25.290001,25.33,24.65,25.07,61150900,25.07
2016-11-03,24.780001,25.469999,24.73,25.299999,58330300,25.299999
2016-11-02,25.690001,25.93,24.549999,24.76,105580800,24.76
2016-11-01,25.08,25.58,24.91,25.129999,85519900,25.129999
2016-10-31,23.959999,24.549999,23.74,24.52,63974000,24.52
2016-10-28,23.67,24.290001,23.43,23.809999,60025100,23.809999
2016-10-27,24.32,24.360001,23.48,23.73,59057600,23.73
2016-10-26,24.620001,24.75,23.860001,24.129999,75684500,24.129999
2016-10-25,24.290001,24.93,24.18,24.65,67093100,24.65
2016-10-24,24.860001,24.870001,23.790001,24.09,65409800,24.09
2016-10-21,24.709999,24.780001,24.40,24.620001,29873700,24.620001
2016-10-20,24.860001,24.940001,24.379999,24.809999,38334800,24.809999
